block,lot,parcel_number,property_address,address,tier,status,bos_district,point,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
0845,018,0845018,890 PAGE ST,"890 PAGE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",5,POINT (-122.435335753916 37.772577791846),26,26,4,11,3
0248,025,0248025,1451 SACRAMENTO ST,"1451 SACRAMENTO ST, SAN FRANCISCO CA",3,Non-Compliant,3,POINT (-122.416767641087 37.791764749387),16,16,6,3,21
1166,025,1166025,222 WILLARD ST,"222 WILLARD ST, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.456350107217 37.776488430959),12,12,8,4,18
1742,014,1742014,1275 08TH AV,"1275 08TH AV, SAN FRANCISCO CA",2,Non-Compliant,5,POINT (-122.465604732378 37.764559468891),109,109,10,11,14
0918,003D,0918003D,2265 BEACH ST,"2265 BEACH ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.446331561645 37.803088182686),17,17,4,6,13
1648,032,1648032,738 06TH AV,"738 06TH AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.463505015783 37.774793939429),5,5,8,4,11
3638,041,3638041,840 SHOTWELL ST,"840 SHOTWELL ST, SAN FRANCISCO CA",3,Non-Compliant,9,POINT (-122.415726748027 37.754974888978),53,53,3,2,20
0218,017,0218017,1520 LARKIN ST,"1520 LARKIN ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.418990657737 37.792138563984),16,16,6,3,21
1422,004,1422004,225 11TH AV,"225 11TH AV, SAN FRANCISCO CA",3,Non-Compliant,1,POINT (-122.470201397523 37.784071645578),5,5,8,4,11
1432,028,1432028,268 02ND AV,"268 02ND AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.459852533097 37.783783662959),5,5,8,4,11
1260,052,1260052,751 WALLER ST,"751 WALLER ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.43601198976 37.770196625657),28,28,7,5,3
7539,011,7539011,5411 DIAMOND HEIGHTS BL,"5411 DIAMOND HEIGHTS BL, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",8,POINT (-122.4352033749 37.74101172282),59,59,9,5,10
1414,021,1414021,1828 CLEMENT ST,"1828 CLEMENT ST, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",1,POINT (-122.478997584524 37.78253310485),8,8,8,4,29
0154,012,0154012,1430 PACIFIC AV,"1430 PACIFIC AV, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",3,POINT (-122.418882115254 37.795574308596),16,16,6,3,32
0097,039,0097039,1147 FILBERT ST,"1147 FILBERT ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",2,POINT (-122.418447644455 37.799960035466),107,107,6,6,32
1521,001,1521001,5901 GEARY BL,"5901 GEARY BL, SAN FRANCISCO CA",4,"Permit Submitted, CFC Required by 9/15/20",1,POINT (-122.482839531167 37.779937706244),8,8,8,4,29
1190,001L,1190001L,2190 GROVE ST,"2190 GROVE ST, SAN FRANCISCO CA",3,"Work Complete, CFC Issued",1,POINT (-122.452552068567 37.774222319689),12,12,7,4,18
0844,025,0844025,867 OAK ST,"867 OAK ST, SAN FRANCISCO CA",3,Non-Compliant,5,POINT (-122.433519705571 37.773377727238),26,26,4,11,3
0755,002,0755002,1101 FILLMORE ST,"1101 FILLMORE ST, SAN FRANCISCO CA",4,"Work Complete, CFC Issued",5,POINT (-122.432262473784 37.779811396881),97,97,4,11,39
0146,005,0146005,636 BROADWAY,"636 BROADWAY , SAN FRANCISCO CA",4,"Work Complete, CFC Issued",3,POINT (-122.407681259638 37.798048890082),106,106,6,3,6
